43,"AM-250 Automatic Induction Sealer",AM-250,6,https://kapsall.com//solutions/induction-sealers/am-250-automatic-sealer,1
44,"AM-500 High Speed Induction Sealer",AM-500,6,https://kapsall.com//solutions/induction-sealers/am-500-high-speed-sealer,1
45,Conveyor,Conveyor,7,https://kapsall.com//solutions/conveyors/conveyor,1
46,"BC-16(23) Bottle Carrier",BC-16(23),7,https://kapsall.com//solutions/conveyors/bc-1623-bottle-carrier,1
47,"AM-CSM Cap Seal Meter",AM-CSM,8,https://kapsall.com//solutions/quality-control/am-csm-cap-seal-meter,1
48,"AM-DA Quality Control Center",AM-DA,8,https://kapsall.com//solutions/quality-control/am-da-quality-control-center,1
49,"FS-U Unscrambling Table",FS-U,9,https://kapsall.com//solutions/bottle-unscramblers/fs-u-unscrambling-table,1
50,"FS-A Accumulation Table",FS-A,9,https://kapsall.com//solutions/rotary-tables/fs-a-accumulation-table,1
51,"FS-S Rotary Surge Table",FS-S,9,https://kapsall.com//solutions/rotary-tables/fs-s-rotary-surge-table,1
52,"EB-650 Bench Torque Meter",EB-650,10,https://kapsall.com//solutions/torque-meters/eb-650-bench-torque-meter,1
53,"EM-980 Torque Monitor",EM-980,10,https://kapsall.com//solutions/torque-meters/em-980-torque-monitor,1
54,"FS-B Bulk Parts Elevator",FS-B,11,https://kapsall.com//solutions/rotary-feeders-elevators-hoppers/fs-b-bulk-parts-elevator,1
55,"MINI-L Compact Parts Elevator",MINI-L,11,https://kapsall.com//solutions/rotary-feeders-elevators-hoppers/mini-l-compact-parts-elevator,1
56,"FSRF-24 Parts and Cap Feeder",FSRF-24,11,https://kapsall.com//solutions/rotary-feeders-elevators-hoppers/fsrf-24-parts-and-cap-feeder,1
57,"FSRF-36 Parts and Cap Feeder",FSRF-36,11,https://kapsall.com//solutions/rotary-feeders-elevators-hoppers/fsrf-36-parts-and-cap-feeder,1
